audio_path,test_id,origin_binary,manipulation_binary,partial_fabrication_binary,origin_label,manipulation_label,attack_hint,risk_level,language,speaker_type,device_chain,platform,recording_condition,duration,sample_rate,dataset_role,training_readiness,training_warning,eligible_for_future_training,use_for_training,split_suggestion,sample_weight,holdout_training_warning,notes
E:\FYP\testing_audios\T3\T3.1.mp3,T3.1,ai,clean,0,ai_likely,clean_original,synthesis,medium,english,unknown,ai_direct_file,none,clean_direct,25.864,44100,controlled_holdout,not_ready_for_training,Phase 7A controlled diagnostic set only. Do not use as main training data.,True,False,validation_candidate,1.5,controlled_holdout_do_not_train,AI voice direct file
E:\FYP\testing_audios\T3\T3.2.mp3,T3.2,ai,manipulated,0,ai_likely,replayed_or_re_recorded,replay,high,english,unknown,laptop_speaker_to_mobile,none,ai_replay,24.864,48000,controlled_holdout,not_ready_for_training,Phase 7A controlled diagnostic set only. Do not use as main training data.,True,False,validation_candidate,1.0,controlled_holdout_do_not_train,AI played on laptop recorded on mobile
E:\FYP\testing_audios\T3\T3.3.mp4,T3.3,ai,manipulated,0,ai_likely,replayed_or_re_recorded,replay,high,english,unknown,bluetooth_speaker,none,ai_replay,25.5,48000,controlled_holdout,not_ready_for_training,Phase 7A controlled diagnostic set only. Do not use as main training data.,True,False,test_holdout,1.0,controlled_holdout_do_not_train,AI through Bluetooth speaker
E:\FYP\testing_audios\T3\T3.4.mp3,T3.4,ai,manipulated,0,ai_likely,channel_processed,voice_conversion,medium,english,unknown,mixer_then_mobile,none,mixer_processed,26.328,48000,controlled_holdout,not_ready_for_training,Phase 7A controlled diagnostic set only. Do not use as main training data.,True,False,test_holdout,1.0,controlled_holdout_do_not_train,AI through mixer then mobile
E:\FYP\testing_audios\T3\T3.5.mp3,T3.5,ai,manipulated,0,ai_likely,replayed_or_re_recorded,replay,high,english,unknown,laptop_speaker_noisy_room,none,ai_replay,24.456,48000,controlled_holdout,not_ready_for_training,Phase 7A controlled diagnostic set only. Do not use as main training data.,True,False,test_holdout,1.5,controlled_holdout_do_not_train,AI replay in noisy room
E:\FYP\testing_audios\T4\T4.1.mp3,T4.1,human,clean,0,human_likely,clean_original,bonafide,inconclusive,english,known_public,reference_speaker,none,clean_direct,186.131,44100,controlled_holdout,not_ready_for_training,Phase 7A controlled diagnostic set only. Do not use as main training data.,False,False,test_holdout,1.2,controlled_holdout_do_not_train,Known speaker real reference
E:\FYP\testing_audios\T4\T4.2.mp3,T4.2,ai,clean,0,ai_likely,clean_original,voice_conversion,high,english,known_public,voice_converted,none,clean_direct,27.518,44100,controlled_holdout,not_ready_for_training,Phase 7A controlled diagnostic set only. Do not use as main training data.,True,False,validation_candidate,1.0,controlled_holdout_do_not_train,Voice converted/cloned sample
E:\FYP\testing_audios\T4\T4.3.mp3,T4.3,mixed,manipulated,1,mixed_or_partial_ai,edited_or_spliced,voice_conversion,high,english,known_public,interview_ai_sentence,none,partial_ai_insert,141.445,44100,controlled_holdout,not_ready_for_training,Phase 7A controlled diagnostic set only. Do not use as main training data.,True,False,test_holdout,2.0,controlled_holdout_do_not_train,T4.3: update suspicious times after listening
E:\FYP\testing_audios\T4\T4.5.mp3,T4.5,ai,manipulated,0,ai_likely,platform_compressed,voice_conversion,medium,english,known_public,social_media_clone,whatsapp,whatsapp_compressed,17.699,44100,controlled_holdout,not_ready_for_training,Phase 7A controlled diagnostic set only. Do not use as main training data.,True,False,test_holdout,1.0,controlled_holdout_do_not_train,Political/social media clone
E:\FYP\testing_audios\T5\T5.1.mp3,T5.1,human,manipulated,0,human_likely,edited_or_spliced,unknown,medium,urdu,local_speaker,silent_cut_edit,none,edited_spliced,22.624,48000,controlled_holdout,not_ready_for_training,Phase 7A controlled diagnostic set only. Do not use as main training data.,True,False,test_holdout,1.3,controlled_holdout_do_not_train,Real audio with silent cut
E:\FYP\testing_audios\T5\T5.2.mp3,T5.2,human,manipulated,0,human_likely,edited_or_spliced,unknown,medium,urdu,local_speaker,human_sentence_insert,none,edited_spliced,31.045,44100,controlled_holdout,not_ready_for_training,Phase 7A controlled diagnostic set only. Do not use as main training data.,True,False,test_holdout,1.3,controlled_holdout_do_not_train,Real audio with inserted human sentence
E:\FYP\testing_audios\T5\T5.3.mp3,T5.3,human,manipulated,0,human_likely,edited_or_spliced,unknown,medium,urdu,local_speaker,background_change_edit,none,edited_spliced,28.152,44100,controlled_holdout,not_ready_for_training,Phase 7A controlled diagnostic set only. Do not use as main training data.,True,False,test_holdout,1.0,controlled_holdout_do_not_train,Abrupt background noise change
E:\FYP\testing_audios\T5\T5.4.mp3,T5.4,human,manipulated,0,human_likely,edited_or_spliced,unknown,medium,urdu,local_speaker,volume_normalized_insert,none,edited_spliced,28.152,48000,controlled_holdout,not_ready_for_training,Phase 7A controlled diagnostic set only. Do not use as main training data.,True,False,test_holdout,1.3,controlled_holdout_do_not_train,Volume-normalized inserted section
E:\FYP\testing_audios\T5\T5.5.mp3,T5.5,human,manipulated,0,human_likely,edited_or_spliced,unknown,medium,urdu,local_speaker,music_noise_overlay,none,edited_spliced,28.152,44100,controlled_holdout,not_ready_for_training,Phase 7A controlled diagnostic set only. Do not use as main training data.,True,False,test_holdout,1.0,controlled_holdout_do_not_train,Real audio with music/noise overlay
E:\FYP\testing_audios\fabricated\fabricated.mp3,T5_FAB_001,mixed,manipulated,1,mixed_or_partial_ai,edited_or_spliced,synthesis,high,urdu,known_public,edited_real_plus_ai,none,partial_ai_insert,34.673,44100,controlled_holdout,not_ready_for_training,Phase 7A controlled diagnostic set only. Do not use as main training data.,True,False,validation_candidate,2.0,controlled_holdout_do_not_train,Verify duration/times match fabricated.mp3; adjust suspicious times if needed
