test_id,audio_path,segment_id,segment_start_time,segment_end_time,segment_label,segment_origin_label,segment_manipulation_label,segment_attack_hint,segment_risk_level,parent_origin_label,parent_manipulation_label,parent_attack_hint,parent_risk_level,source,notes,use_for_training
T3.5,E:\FYP\testing_audios\T3\T3.5.mp3,T3.5_full,0.0,24.456,full_file_manipulated,ai_likely,replayed_or_re_recorded,replay,high,ai_likely,replayed_or_re_recorded,replay,high,phase7b_rules,Whole-file segment for non-partial sample,False
T4.2,E:\FYP\testing_audios\T4\T4.2.mp3,T4.2_full,0.0,27.518,full_file_clean,ai_likely,clean_original,voice_conversion,high,ai_likely,clean_original,voice_conversion,high,phase7b_rules,Whole-file segment for non-partial sample,False
T4.3,E:\FYP\testing_audios\T4\T4.3.mp3,T4.3_pre_real,0.0,35.0,pre_real_segment,human_likely,clean_original,bonafide,low,mixed_or_partial_ai,edited_or_spliced,voice_conversion,high,phase7b_rules,Real audio before inserted region,False
T4.3,E:\FYP\testing_audios\T4\T4.3.mp3,T4.3_inserted_ai,35.0,58.0,inserted_ai_segment,ai_likely,edited_or_spliced,voice_conversion,high,mixed_or_partial_ai,edited_or_spliced,voice_conversion,high,phase7b_rules,Ground-truth inserted AI/synthetic region,False
T4.3,E:\FYP\testing_audios\T4\T4.3.mp3,T4.3_post_real,58.0,141.445,post_real_segment,human_likely,clean_original,bonafide,low,mixed_or_partial_ai,edited_or_spliced,voice_conversion,high,phase7b_rules,Real audio after inserted region,False
T4.5,E:\FYP\testing_audios\T4\T4.5.mp3,T4.5_full,0.0,17.699,full_file_manipulated,ai_likely,platform_compressed,voice_conversion,medium,ai_likely,platform_compressed,voice_conversion,medium,phase7b_rules,Whole-file segment for non-partial sample,False
T5.1,E:\FYP\testing_audios\T5\T5.1.mp3,T5.1_full,0.0,22.624,full_file_manipulated,human_likely,edited_or_spliced,unknown,medium,human_likely,edited_or_spliced,unknown,medium,phase7b_rules,Whole-file segment for non-partial sample,False
T5.2,E:\FYP\testing_audios\T5\T5.2.mp3,T5.2_full,0.0,31.045,full_file_manipulated,human_likely,edited_or_spliced,unknown,medium,human_likely,edited_or_spliced,unknown,medium,phase7b_rules,Whole-file segment for non-partial sample,False
T5.3,E:\FYP\testing_audios\T5\T5.3.mp3,T5.3_full,0.0,28.152,full_file_manipulated,human_likely,edited_or_spliced,unknown,medium,human_likely,edited_or_spliced,unknown,medium,phase7b_rules,Whole-file segment for non-partial sample,False
T5.4,E:\FYP\testing_audios\T5\T5.4.mp3,T5.4_full,0.0,28.152,full_file_manipulated,human_likely,edited_or_spliced,unknown,medium,human_likely,edited_or_spliced,unknown,medium,phase7b_rules,Whole-file segment for non-partial sample,False
T5.5,E:\FYP\testing_audios\T5\T5.5.mp3,T5.5_full,0.0,28.152,full_file_manipulated,human_likely,edited_or_spliced,unknown,medium,human_likely,edited_or_spliced,unknown,medium,phase7b_rules,Whole-file segment for non-partial sample,False
T5_FAB_001,E:\FYP\testing_audios\fabricated\fabricated.mp3,T5_FAB_001_pre_real,0.0,14.0,pre_real_segment,human_likely,clean_original,bonafide,low,mixed_or_partial_ai,edited_or_spliced,synthesis,high,phase7b_rules,Real audio before inserted region,False
T5_FAB_001,E:\FYP\testing_audios\fabricated\fabricated.mp3,T5_FAB_001_inserted_ai,14.0,21.0,inserted_ai_segment,ai_likely,edited_or_spliced,voice_conversion,high,mixed_or_partial_ai,edited_or_spliced,synthesis,high,phase7b_rules,Ground-truth inserted AI/synthetic region,False
T5_FAB_001,E:\FYP\testing_audios\fabricated\fabricated.mp3,T5_FAB_001_post_real,21.0,34.673,post_real_segment,human_likely,clean_original,bonafide,low,mixed_or_partial_ai,edited_or_spliced,synthesis,high,phase7b_rules,Real audio after inserted region,False
