test_id,audio_path,filename,duration,sample_rate,channels,priority,language,speaker_type,speaker_id,device_chain,platform,recording_condition,source_origin,manipulation_type,ground_truth_origin,ground_truth_manipulation,origin_label,manipulation_label,attack_hint,risk_level,origin_binary,manipulation_binary,partial_fabrication_binary,partial_fabrication_detected,suspicious_start_time,suspicious_end_time,expected_forensic_result,notes,prediction,decision_score,effective_threshold,confidence,attack_type,attack_type_conf,bonafide_prob,synthesis_prob,conversion_prob,replay_prob,product_status,origin_confusion,manipulation_detected,segment_suspicious,file_level_missed_but_segment_suspicious,suspicious_chunk_ratio,max_chunk_spoof,inside_region_dominant_attack,partial_region_detected,final_product_interpretation,label_source,review_status,label_confidence,use_for_training,use_for_validation,use_for_testing,exclusion_reason,dataset_role,training_readiness,training_warning
T3.5,E:\FYP\testing_audios\T3\T3.5.mp3,T3.5.mp3,24.456,48000,2,P2,english,unknown,unknown_english,laptop_speaker_noisy_room,none,ai_replay,ai,ai_replay,ai,replayed,ai_likely,replayed_or_re_recorded,replay,high,ai,manipulated,0,False,,,Should detect as spoof,AI replay in noisy room,REAL,0.5714285714285714,0.7,0.4285714285714286,conversion,0.5556703805923462,0.2721747457981109,0.1721417009830474,0.5556703805923462,1.3175970707379747e-05,ai_replay_file_level_missed_but_segment_suspicious,False,False,True,True,0.5714285714285714,0.9946358799934388,,False,"T3.5: ai_replay_file_level_missed_but_segment_suspicious; whole-file REAL (score=0.571). Whole-file vote is below threshold, but multiple suspicious chunks are present. Manual review or segment-level report is recommended. Exploratory top candidate region: 0.0-4.0s (max chunk spoof=0.995). Chunks: 4 suspicious / 7 used (ratio=0.57, max=0.9946358799934387).",manual_phase7a,approved,high,False,True,True,,controlled_holdout,not_ready_for_training,Phase 7A controlled diagnostic set only. Do not use as main training data.
T4.1,E:\FYP\testing_audios\T4\T4.1.mp3,T4.1.mp3,186.131,44100,1,P0,english,known_public,known_public_english,reference_speaker,none,clean_direct,human,clean_direct,human,clean,human_likely,clean_original,bonafide,inconclusive,human,clean,0,False,,,Should not be called AI fake,Known speaker real reference,REAL,0.6666666666666666,0.7,0.3333333333333333,conversion,0.4095069468021393,0.3345502614974975,0.25419482588768,0.4095069468021393,0.0017479755915701,clean_human_borderline,False,True,True,False,0.6666666666666666,1.0,,False,"T4.1: clean_human_borderline; whole-file REAL (score=0.667). Chunks: 30 suspicious / 45 used (ratio=0.67, max=1.0).",manual_phase7a,needs_review,medium,False,False,True,,controlled_holdout,not_ready_for_training,Phase 7A controlled diagnostic set only. Do not use as main training data.
T4.2,E:\FYP\testing_audios\T4\T4.2.mp3,T4.2.mp3,27.518,44100,1,P0,english,known_public,known_public_english,voice_converted,none,clean_direct,ai,clean_direct,ai,processed,ai_likely,clean_original,voice_conversion,high,ai,clean,0,False,,,Should detect conversion/spoof,Voice converted/cloned sample,FAKE,0.875,0.7,0.875,conversion,0.8538315892219543,0.1351617723703384,0.0110061503946781,0.8538315892219543,5.01890554005513e-07,direct_ai_detected,False,True,True,False,0.875,1.0,,False,"T4.2: direct_ai_detected; whole-file FAKE (score=0.875). Chunks: 7 suspicious / 8 used (ratio=0.88, max=1.0).",manual_phase7a,approved,high,False,True,True,,controlled_holdout,not_ready_for_training,Phase 7A controlled diagnostic set only. Do not use as main training data.
T4.3,E:\FYP\testing_audios\T4\T4.3.mp3,T4.3.mp3,141.445,44100,1,P1,english,known_public,known_public_english,interview_ai_sentence,none,partial_ai_insert,mixed,partial_ai_insert,mixed,edited,mixed_or_partial_ai,edited_or_spliced,voice_conversion,high,mixed,manipulated,1,True,35.0,58.0,Partial AI sentence in real interview — fill suspicious_start_time/end_time if known,T4.3: update suspicious times after listening,REAL,0.5454545454545454,0.7,0.4545454545454546,bonafide,0.5199006199836731,0.5199006199836731,0.1441031843423843,0.3359946310520172,1.4994730008766055e-06,partial_fabrication_detected,False,False,True,False,0.5454545454545454,1.0,bonafide,True,"T4.3: partial_fabrication_detected; whole-file REAL (score=0.545). Segment signal: inside_avg=0.5220973361938377, outside_avg=0.5507127796587257. Chunks: 24 suspicious / 44 used (ratio=0.55, max=1.0).",manual_phase7a,approved,high,False,True,True,,controlled_holdout,not_ready_for_training,Phase 7A controlled diagnostic set only. Do not use as main training data.
T4.5,E:\FYP\testing_audios\T4\T4.5.mp3,T4.5.mp3,17.699,44100,1,P2,english,known_public,known_public_english,social_media_clone,whatsapp,whatsapp_compressed,ai,whatsapp_compressed,ai,compressed,ai_likely,platform_compressed,voice_conversion,medium,ai,manipulated,0,False,,,Should detect spoof with compression note,Political/social media clone,FAKE,1.0,0.7,1.0,synthesis,0.5556553602218628,0.005752841476351,0.5556553602218628,0.4220872819423675,0.0165044963359832,ai_replay_or_processed_detected,False,True,True,False,1.0,1.0,,False,"T4.5: ai_replay_or_processed_detected; whole-file FAKE (score=1.000). Chunks: 5 suspicious / 5 used (ratio=1.00, max=1.0).",manual_phase7a,approved,high,False,True,True,,controlled_holdout,not_ready_for_training,Phase 7A controlled diagnostic set only. Do not use as main training data.
T5.1,E:\FYP\testing_audios\T5\T5.1.mp3,T5.1.mp3,22.624,48000,2,P1,urdu,local_speaker,local_speaker_urdu,silent_cut_edit,none,edited_spliced,human,edited_spliced,human,edited,human_likely,edited_or_spliced,unknown,medium,human,manipulated,0,False,,,Should stay human-likely (no AI insert),Real audio with silent cut,FAKE,0.8571428571428571,0.7,0.8571428571428571,synthesis,0.4329087138175964,0.1844324916601181,0.4329087138175964,0.3825920224189758,6.673285679426044e-05,processed_human_manipulation_detected,True,True,True,False,0.8571428571428571,0.9999990463256836,,False,"T5.1: processed_human_manipulation_detected; whole-file FAKE (score=0.857). Origin confusion: FAKE label on human-origin processed audio (manipulation signal useful). Manipulation/channel sensitivity detected despite human origin. Chunks: 6 suspicious / 7 used (ratio=0.86, max=0.9999990463256836).",manual_phase7a,approved,high,False,True,True,,controlled_holdout,not_ready_for_training,Phase 7A controlled diagnostic set only. Do not use as main training data.
T5.2,E:\FYP\testing_audios\T5\T5.2.mp3,T5.2.mp3,31.045,44100,2,P1,urdu,local_speaker,local_speaker_urdu,human_sentence_insert,none,edited_spliced,human,edited_spliced,human,edited,human_likely,edited_or_spliced,unknown,medium,human,manipulated,0,False,,,Should stay human-likely,Real audio with inserted human sentence,FAKE,0.9,0.7,0.9,synthesis,0.6249693632125854,0.0802846178412437,0.6249693632125854,0.2787213027477264,0.0160246733576059,processed_human_manipulation_detected,True,True,True,False,0.9,0.9999984502792358,,False,"T5.2: processed_human_manipulation_detected; whole-file FAKE (score=0.900). Origin confusion: FAKE label on human-origin processed audio (manipulation signal useful). Manipulation/channel sensitivity detected despite human origin. Chunks: 9 suspicious / 10 used (ratio=0.90, max=0.9999984502792358).",manual_phase7a,approved,high,False,True,True,,controlled_holdout,not_ready_for_training,Phase 7A controlled diagnostic set only. Do not use as main training data.
T5.3,E:\FYP\testing_audios\T5\T5.3.mp3,T5.3.mp3,28.152,44100,2,P2,urdu,local_speaker,local_speaker_urdu,background_change_edit,none,edited_spliced,human,edited_spliced,human,edited,human_likely,edited_or_spliced,unknown,medium,human,manipulated,0,False,,,Avoid false AI call,Abrupt background noise change,REAL,0.625,0.7,0.375,bonafide,0.3654699325561523,0.3654699325561523,0.3581257462501526,0.2762891352176666,0.0001151626856881,processed_human_missed,False,False,True,False,0.625,0.9999666213989258,,False,"T5.3: processed_human_missed; whole-file REAL (score=0.625). Chunks: 5 suspicious / 8 used (ratio=0.62, max=0.9999666213989258).",manual_phase7a,approved,high,False,True,True,,controlled_holdout,not_ready_for_training,Phase 7A controlled diagnostic set only. Do not use as main training data.
T5.4,E:\FYP\testing_audios\T5\T5.4.mp3,T5.4.mp3,28.152,48000,2,P2,urdu,local_speaker,local_speaker_urdu,volume_normalized_insert,none,edited_spliced,human,edited_spliced,human,edited,human_likely,edited_or_spliced,unknown,medium,human,manipulated,0,False,,,Should stay human-likely,Volume-normalized inserted section,FAKE,0.75,0.7,0.75,synthesis,0.573309063911438,0.1658204197883606,0.573309063911438,0.2608252763748169,4.5188462536316365e-05,processed_human_manipulation_detected,True,True,True,False,0.75,0.9999042749404908,,False,"T5.4: processed_human_manipulation_detected; whole-file FAKE (score=0.750). Origin confusion: FAKE label on human-origin processed audio (manipulation signal useful). Manipulation/channel sensitivity detected despite human origin. Chunks: 6 suspicious / 8 used (ratio=0.75, max=0.9999042749404907).",manual_phase7a,approved,high,False,True,True,,controlled_holdout,not_ready_for_training,Phase 7A controlled diagnostic set only. Do not use as main training data.
T5.5,E:\FYP\testing_audios\T5\T5.5.mp3,T5.5.mp3,28.152,44100,2,P2,urdu,local_speaker,local_speaker_urdu,music_noise_overlay,none,edited_spliced,human,edited_spliced,human,processed,human_likely,edited_or_spliced,unknown,medium,human,manipulated,0,False,,,Should stay human-likely,Real audio with music/noise overlay,REAL,0.6666666666666666,0.7,0.3333333333333333,conversion,0.5729211568832397,0.1858427375555038,0.2411404997110366,0.5729211568832397,9.55644718487747e-05,processed_human_manipulation_detected,False,True,True,False,0.6666666666666666,0.9999998807907104,,False,"T5.5: processed_human_manipulation_detected; whole-file REAL (score=0.667). Manipulation/channel sensitivity detected despite human origin. Chunks: 6 suspicious / 9 used (ratio=0.67, max=0.9999998807907104).",manual_phase7a,approved,high,False,True,True,,controlled_holdout,not_ready_for_training,Phase 7A controlled diagnostic set only. Do not use as main training data.
T5_FAB_001,E:\FYP\testing_audios\fabricated\fabricated.mp3,fabricated.mp3,34.673,44100,2,P0,urdu,known_public,known_public_urdu,edited_real_plus_ai,none,partial_ai_insert,mixed,partial_ai_insert,mixed,mixed,mixed_or_partial_ai,edited_or_spliced,synthesis,high,mixed,manipulated,1,True,14.0,21.0,Mostly real audio with inserted AI-generated segment from 14s to 21s,Verify duration/times match fabricated.mp3; adjust suspicious times if needed,REAL,0.6,0.7,0.4,conversion,0.3865857720375061,0.3353117108345032,0.2779723405838012,0.3865857720375061,0.0001301768934354,partial_fabrication_detected,False,False,True,False,0.6,0.9978001713752748,conversion,True,"T5_FAB_001: partial_fabrication_detected; whole-file REAL (score=0.600). Segment signal: inside_avg=0.9513935446739197, outside_avg=0.6248397068120539. Chunks: 6 suspicious / 10 used (ratio=0.60, max=0.9978001713752747).",manual_phase7a,approved,high,False,True,True,,controlled_holdout,not_ready_for_training,Phase 7A controlled diagnostic set only. Do not use as main training data.
